Metascore,NameGame,NameConsole,Userscore,NameCompany,Fecha
90,Rayman Legends,PS4,8.5,Sony,2014-02-18 00:00:00.0
90,Grand Theft Auto: Chinatown Wars,PSP,7.4,Sony,2009-10-20 00:00:00.0
90,Into the Breach,Switch,7.5,Nintendo,2018-08-28 00:00:00.0
89,Sonic Adventure 2,DC,8.5,Sega,2001-06-18 00:00:00.0
89,Rocksmith 2014 Edition,PC,7.9,PC,2013-10-22 00:00:00.0
88,Wario Land 4,GBA,8.6,Nintendo,2001-11-18 00:00:00.0
87,Middle-earth: Shadow of Mordor,XONE,8.0,Microsoft,2014-09-30 00:00:00.0
87,Rocksmith 2014 Edition,X360,7.5,Microsoft,2013-10-22 00:00:00.0
87,Tomb Raider,PS3,8.4,Sony,2013-03-05 00:00:00.0
87,Pikmin 3,WIIU,8.7,Nintendo,2013-08-04 00:00:00.0
87,Super Monkey Ball,GC,8.1,Nintendo,2001-11-17 00:00:00.0
87,Dead or Alive 3,XBOX,8.5,Microsoft,2001-11-14 00:00:00.0
87,Pokemon SoulSilver Version,DS,8.7,Nintendo,2010-03-14 00:00:00.0
86,Luigi's Mansion: Dark Moon,3DS,8.5,Nintendo,2013-03-24 00:00:00.0
84,Fear Effect 2: Retro Helix,PS,8.6,Sony,2001-02-21 00:00:00.0
98,Tony Hawk's Pro Skater 2,PS,7.4,Sony,2000-09-20 00:00:00.0
92,SSX Tricky,PS2,8.9,Sony,2001-11-05 00:00:00.0
91,Rock Band 3,WII,6.8,Nintendo,2010-10-26 00:00:00.0
90,Banjo-Tooie,N64,9.0,Nintendo,2000-11-19 00:00:00.0
90,Shovel Knight,3DS,8.3,Nintendo,2014-06-26 00:00:00.0
90,Hollow Knight,Switch,8.8,Nintendo,2018-06-12 00:00:00.0
88,Shenmue II,DC,9.1,Sega,2001-11-23 00:00:00.0
88,Crusader Kings II: The Old Gods,PC,8.7,PC,2013-05-28 00:00:00.0
87,LittleBigPlanet,PSP,7.8,Sony,2009-11-17 00:00:00.0
87,MLB 13: The Show,PS3,7.9,Sony,2013-03-05 00:00:00.0
87,Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,X360,7.4,Microsoft,2013-02-27 00:00:00.0
87,SSX Tricky,GC,8.5,Nintendo,2001-12-02 00:00:00.0
87,Pokemon HeartGold Version,DS,8.5,Nintendo,2010-03-14 00:00:00.0
86,Need for Speed: Most Wanted U,WIIU,7.7,Nintendo,2013-03-19 00:00:00.0
86,F-Zero: Maximum Velocity,GBA,8.2,Nintendo,2001-06-12 00:00:00.0
